text,sc_status,income,purpose,activity,project_cost,loan_required,education_level,course,course_type,course_recognized
I belong to the SC category. I want an education loan for nursing. My annual family income is 4.6 lakhs and I need around 18.4 lakhs.,Yes,459696,Education,NA,1843241,1843241,Postgraduate,nursing,medical,Yes
I am an SC student and my family income is ₹433438. I want to study MBA. My course fee is Rs 3477284 and I need a loan of 27.7 lakh.,Yes,433438,Education,NA,3477284,2772034,Postgraduate,MBA,technical,Yes
I belong to the SC category. I want an education loan for MCA. My annual family income is Rs 326387 and I need around 1842735 rupees.,Yes,326387,Education,NA,3731803,1842735,12th,MCA,technical,Yes
I belong to Scheduled Caste and want to start a small poultry. My income is ₹214451 and the project will cost about ₹498913.,Yes,214451,Business,poultry,498913,410109,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small grocery shop. My income is ₹122990 and the project will cost about ₹332402.,Yes,122990,Business,grocery shop,332402,264189,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small tailoring. My income is Rs 239813 and the project will cost about Rs 354227.,Yes,239813,Business,tailoring,354227,321855,NA,NA,NA,NA
"My family earns 3.8 lakh per year. I am an SC beneficiary and want to pursue BCA, which is a professional course. The fee is 31.0 lakhs.",Yes,384926,Education,NA,3097863,3097863,Graduate,BCA,professional,Yes
I am from Scheduled Caste and want financial assistance for my pharmacy course. My family income is ₹360059 and I require Rs 71604.,Yes,360059,Education,NA,184967,71604,12th,pharmacy,management,Yes
I am from SC category and want financial help for my repair shop. The total project cost is Rs 200619 and I need 1.8 lakh as loan. My annual income is 313328 rupees.,Yes,313328,Business,repair shop,200619,181818,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹392984. I want to start a computer centre business and need a loan of 253758 rupees.,Yes,392984,Business,computer centre,343883,253758,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is 5.0 lakhs and I require ₹1085273.,Yes,497584,Education,NA,1085273,1085273,Postgraduate,nursing,technical,Yes
I want to open a service business. I am an SC beneficiary and my yearly family income is 3.3 lakh. I require about 87717 rupees.,Yes,332100,Business,service business,141394,87717,NA,NA,NA,NA
I want to open a service business. I am an SC beneficiary and my yearly family income is 1.5 lakhs. I require about ₹87016.,Yes,153866,Business,service business,146971,87016,NA,NA,NA,NA
I want to open a tailoring. I am an SC beneficiary and my yearly family income is ₹241625. I require about Rs 175967.,Yes,241625,Business,tailoring,200234,175967,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my pharmacy course. My family income is 3.7 lakhs and I require 26.5 lakhs.,Yes,373647,Education,NA,2647602,2647602,Graduate,pharmacy,management,Yes
I want to open a fisheries. I am an SC beneficiary and my yearly family income is Rs 289353. I require about Rs 394301.,Yes,289353,Business,fisheries,443412,394301,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a grocery shop and need ₹175220.,No,205466,Business,grocery shop,225220,175220,NA,NA,NA,NA
I am an SC student and my family income is 2.9 lakh. I want to study medical. My course fee is ₹580077 and I need a loan of Rs 580077.,Yes,294854,Education,NA,580077,580077,12th,medical,medical,Yes
I do not belong to the SC category. My family income is ₹316461 and I need a loan for a food business.,No,316461,Business,food business,303901,253901,NA,NA,NA,NA
I want to open a grocery shop. I am an SC beneficiary and my yearly family income is ₹217717. I require about 235434 rupees.,Yes,217717,Business,grocery shop,296516,235434,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my pharmacy course. My family income is 4.0 lakh and I require 11.4 lakhs.,Yes,400073,Education,NA,1459798,1135034,12th,pharmacy,professional,Yes
I am from Scheduled Caste and want financial assistance for my MBA course. My family income is 2.5 lakhs and I require 36.5 lakh.,Yes,250755,Education,NA,3830719,3648160,12th,MBA,medical,Yes
I want to open a computer centre. I am an SC beneficiary and my yearly family income is 315788 rupees. I require about 3.7 lakhs.,Yes,315788,Business,computer centre,420324,368845,NA,NA,NA,NA
I want to open a small manufacturing. I am an SC beneficiary and my yearly family income is 252401 rupees. I require about ₹270015.,Yes,252401,Business,small manufacturing,367437,270015,NA,NA,NA,NA
"I need a loan to study medical. I am an SC student, my income is Rs 111741, and the course fee is 36.4 lakh.",Yes,111741,Education,NA,3644844,513437,12th,medical,medical,Yes
I want to open a transport. I am an SC beneficiary and my yearly family income is 1.2 lakhs. I require about 3.5 lakh.,Yes,123839,Business,transport,419883,354592,NA,NA,NA,NA
I am an SC student and my family income is 493093 rupees. I want to study medical. My course fee is 37.2 lakhs and I need a loan of ₹416722.,Yes,493093,Education,NA,3722623,416722,Graduate,medical,professional,Yes
I am an SC beneficiary. My family income is Rs 301190. I want to start a transport business and need a loan of ₹142964.,Yes,301190,Business,transport,172033,142964,NA,NA,NA,NA
I want to open a computer centre. I am an SC beneficiary and my yearly family income is 2.6 lakhs. I require about ₹441492.,Yes,256350,Business,computer centre,455226,441492,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small transport. My income is Rs 419465 and the project will cost about ₹482581.,Yes,419465,Business,transport,482581,393952,NA,NA,NA,NA
I am an SC student and my family income is 317496 rupees. I want to study BTech. My course fee is 498796 rupees and I need a loan of 5.0 lakhs.,Yes,317496,Education,NA,498796,498796,Postgraduate,BTech,professional,Yes
"My family earns 2.0 lakh per year. I am an SC beneficiary and want to pursue pharmacy, which is a technical course. The fee is ₹705863.",Yes,197698,Education,NA,705863,705863,Graduate,pharmacy,technical,Yes
I am an SC beneficiary. My family income is ₹423254. I want to start a service business business and need a loan of ₹218951.,Yes,423254,Business,service business,289897,218951,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a tailoring and need 3.4 lakhs.,No,127454,Business,tailoring,389461,339461,NA,NA,NA,NA
I belong to the SC category. I want an education loan for engineering. My annual family income is ₹84803 and I need around 1486264 rupees.,Yes,84803,Education,NA,1486264,1486264,Graduate,engineering,professional,Yes
I am an SC student and my family income is 4.7 lakhs. I want to study BCA. My course fee is Rs 2378874 and I need a loan of 2378874 rupees.,Yes,467452,Education,NA,2378874,2378874,Graduate,BCA,professional,Yes
I am from SC category and want financial help for my transport. The total project cost is ₹312689 and I need Rs 249837 as loan. My annual income is 100153 rupees.,Yes,100153,Business,transport,312689,249837,NA,NA,NA,NA
I want to open a service business. I am an SC beneficiary and my yearly family income is 288356 rupees. I require about Rs 310230.,Yes,288356,Business,service business,353626,310230,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small transport. My income is ₹151432 and the project will cost about 2.4 lakhs.,Yes,151432,Business,transport,240944,227734,NA,NA,NA,NA
"My family earns 1.9 lakhs per year. I am an SC beneficiary and want to pursue law, which is a management course. The fee is 23.2 lakhs.",Yes,192405,Education,NA,2317973,2317973,Graduate,law,management,Yes
I am from SC category and want financial help for my grocery shop. The total project cost is Rs 276260 and I need 199580 rupees as loan. My annual income is Rs 356111.,Yes,356111,Business,grocery shop,276260,199580,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small food business. My income is Rs 326977 and the project will cost about 2.1 lakh.,Yes,326977,Business,food business,211777,196536,NA,NA,NA,NA
"I need a loan to study medical. I am an SC student, my income is Rs 229609, and the course fee is 8.6 lakhs.",Yes,229609,Education,NA,856928,597850,Postgraduate,medical,medical,Yes
I am not an SC beneficiary. I want to start a tailoring and need 50912 rupees.,No,448383,Business,tailoring,100912,50912,NA,NA,NA,NA
I am an SC student and my family income is ₹489757. I want to study engineering. My course fee is ₹1270529 and I need a loan of Rs 1270529.,Yes,489757,Education,NA,1270529,1270529,12th,engineering,medical,Yes
I belong to the SC category. I want an education loan for BTech. My annual family income is 96176 rupees and I need around Rs 1320319.,Yes,96176,Education,NA,1691517,1320319,12th,BTech,technical,Yes
My family earns around 1.7 lakh per year. I belong to the SC community and want to start a repair shop. I need around 1.2 lakh.,Yes,166016,Business,repair shop,165831,119788,NA,NA,NA,NA
I do not belong to the SC category. My family income is ₹391670 and I need a loan for a service business.,No,391670,Business,service business,100686,50686,NA,NA,NA,NA
I am from SC category and want financial help for my service business. The total project cost is 105802 rupees and I need Rs 50925 as loan. My annual income is Rs 117454.,Yes,117454,Business,service business,105802,50925,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my BCA course. My family income is Rs 109251 and I require ₹1227824.,Yes,109251,Education,NA,1227824,1227824,Graduate,BCA,technical,Yes
I am from SC category and want financial help for my service business. The total project cost is Rs 265421 and I need Rs 220891 as loan. My annual income is 3.0 lakh.,Yes,300745,Business,service business,265421,220891,NA,NA,NA,NA
I am from SC category and want financial help for my computer centre. The total project cost is 419497 rupees and I need 3.5 lakhs as loan. My annual income is 4.2 lakhs.,Yes,421867,Business,computer centre,419497,352108,NA,NA,NA,NA
I am from SC category and want financial help for my fisheries. The total project cost is Rs 515167 and I need ₹422288 as loan. My annual income is 424045 rupees.,Yes,424045,Business,fisheries,515167,422288,NA,NA,NA,NA
I am an SC student and my family income is ₹246043. I want to study BTech. My course fee is Rs 3203218 and I need a loan of 15.4 lakh.,Yes,246043,Education,NA,3203218,1538468,12th,BTech,professional,Yes
I belong to Scheduled Caste and want to start a small transport. My income is 183306 rupees and the project will cost about 1.5 lakh.,Yes,183306,Business,transport,150927,51513,NA,NA,NA,NA
I want to open a fisheries. I am an SC beneficiary and my yearly family income is ₹92028. I require about ₹447733.,Yes,92028,Business,fisheries,547343,447733,NA,NA,NA,NA
"I need a loan to study law. I am an SC student, my income is 124774 rupees, and the course fee is 35.5 lakh.",Yes,124774,Education,NA,3548518,2402163,12th,law,medical,Yes
I am not an SC beneficiary. I want to start a food business and need ₹336742.,No,306962,Business,food business,386742,336742,NA,NA,NA,NA
I am an SC student and my family income is 1.2 lakhs. I want to study pharmacy. My course fee is 1991896 rupees and I need a loan of ₹393060.,Yes,122544,Education,NA,1991896,393060,12th,pharmacy,medical,Yes
I am an SC student and my family income is ₹132068. I want to study pharmacy. My course fee is Rs 2060093 and I need a loan of ₹2060093.,Yes,132068,Education,NA,2060093,2060093,Postgraduate,pharmacy,management,Yes
I am from SC category and want financial help for my computer centre. The total project cost is 3.5 lakhs and I need Rs 312891 as loan. My annual income is 1.3 lakhs.,Yes,132574,Business,computer centre,350411,312891,NA,NA,NA,NA
I do not belong to the SC category. My family income is ₹125195 and I need a loan for a transport.,No,125195,Business,transport,278589,228589,NA,NA,NA,NA
I want to open a poultry. I am an SC beneficiary and my yearly family income is ₹115500. I require about 1.8 lakh.,Yes,115500,Business,poultry,220372,184983,NA,NA,NA,NA
"My family earns 333201 rupees per year. I am an SC beneficiary and want to pursue MBA, which is a technical course. The fee is 3424430 rupees.",Yes,333201,Education,NA,3424430,445145,Graduate,MBA,technical,Yes
My family earns around 3.5 lakhs per year. I belong to the SC community and want to start a computer centre. I need around 2.3 lakh.,Yes,354027,Business,computer centre,324062,234610,NA,NA,NA,NA
"I need a loan to study engineering. I am an SC student, my income is 1.3 lakhs, and the course fee is ₹2421711.",Yes,131379,Education,NA,2421711,2183588,12th,engineering,medical,Yes
"I need a loan to study medical. I am an SC student, my income is Rs 153542, and the course fee is Rs 3746768.",Yes,153542,Education,NA,3746768,1689442,Graduate,medical,medical,Yes
I am an SC beneficiary. My family income is ₹256633. I want to start a grocery shop business and need a loan of 95373 rupees.,Yes,256633,Business,grocery shop,149910,95373,NA,NA,NA,NA
My family earns around ₹402510 per year. I belong to the SC community and want to start a tailoring. I need around Rs 402000.,Yes,402510,Business,tailoring,465135,402000,NA,NA,NA,NA
I do not belong to the SC category. My family income is 4.9 lakhs and I need a loan for a food business.,No,485844,Business,food business,288040,238040,NA,NA,NA,NA
I do not belong to the SC category. My family income is ₹84814 and I need a loan for a poultry.,No,84814,Business,poultry,183526,133526,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is 285533 rupees and I require 6.6 lakhs.,Yes,285533,Education,NA,3035529,658043,Postgraduate,nursing,technical,Yes
I do not belong to the SC category. My family income is 1.3 lakhs and I need a loan for a food business.,No,127751,Business,food business,348063,298063,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small grocery shop. My income is 309810 rupees and the project will cost about 4.6 lakhs.,Yes,309810,Business,grocery shop,457683,443061,NA,NA,NA,NA
"My family earns 3.1 lakhs per year. I am an SC beneficiary and want to pursue MBA, which is a technical course. The fee is 1004292 rupees.",Yes,308506,Education,NA,1004292,956268,Postgraduate,MBA,technical,Yes
I am from SC category and want financial help for my poultry. The total project cost is Rs 331114 and I need Rs 299234 as loan. My annual income is 3.2 lakh.,Yes,317403,Business,poultry,331114,299234,NA,NA,NA,NA
My family earns around 2.4 lakh per year. I belong to the SC community and want to start a computer centre. I need around Rs 406465.,Yes,244529,Business,computer centre,429292,406465,NA,NA,NA,NA
I am an SC student and my family income is ₹412755. I want to study nursing. My course fee is Rs 1476822 and I need a loan of Rs 1476822.,Yes,412755,Education,NA,1476822,1476822,Postgraduate,nursing,medical,Yes
I am from Scheduled Caste and want financial assistance for my BCA course. My family income is Rs 372899 and I require ₹1750850.,Yes,372899,Education,NA,3288153,1750850,Postgraduate,BCA,professional,Yes
I want to open a repair shop. I am an SC beneficiary and my yearly family income is ₹401737. I require about 3.2 lakhs.,Yes,401737,Business,repair shop,386490,316939,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a grocery shop and need 310017 rupees.,No,313700,Business,grocery shop,360017,310017,NA,NA,NA,NA
My family earns around 3.6 lakhs per year. I belong to the SC community and want to start a poultry. I need around 1.6 lakh.,Yes,357916,Business,poultry,246824,157561,NA,NA,NA,NA
I do not belong to the SC category. My family income is 3.3 lakhs and I need a loan for a grocery shop.,No,330813,Business,grocery shop,334868,284868,NA,NA,NA,NA
I want to open a tailoring. I am an SC beneficiary and my yearly family income is 1.8 lakh. I require about ₹103620.,Yes,177484,Business,tailoring,150597,103620,NA,NA,NA,NA
I am an SC student and my family income is 1.7 lakh. I want to study MBA. My course fee is 38.8 lakhs and I need a loan of 15.8 lakh.,Yes,165953,Education,NA,3884010,1577960,12th,MBA,management,Yes
I belong to Scheduled Caste and want to start a small food business. My income is 2.2 lakhs and the project will cost about 1.6 lakhs.,Yes,218147,Business,food business,163655,148735,NA,NA,NA,NA
I am an SC student and my family income is 4.5 lakh. I want to study engineering. My course fee is Rs 2852892 and I need a loan of 28.5 lakh.,Yes,451998,Education,NA,2852892,2852892,Postgraduate,engineering,management,Yes
I am not an SC beneficiary. I want to start a grocery shop and need 2.7 lakh.,No,249325,Business,grocery shop,317760,267760,NA,NA,NA,NA
I am from SC category and want financial help for my grocery shop. The total project cost is Rs 88371 and I need 57798 rupees as loan. My annual income is 295613 rupees.,Yes,295613,Business,grocery shop,88371,57798,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small repair shop. My income is 362012 rupees and the project will cost about Rs 311122.,Yes,362012,Business,repair shop,311122,243697,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is Rs 142568 and I require 15.3 lakh.,Yes,142568,Education,NA,1976423,1527223,Postgraduate,nursing,technical,Yes
I am from Scheduled Caste and want financial assistance for my medical course. My family income is Rs 212486 and I require ₹1537454.,Yes,212486,Education,NA,2704214,1537454,Postgraduate,medical,medical,Yes
I belong to the SC category. I want an education loan for BTech. My annual family income is 3.3 lakh and I need around ₹393845.,Yes,334380,Education,NA,393845,393845,Postgraduate,BTech,technical,Yes
I am from SC category and want financial help for my grocery shop. The total project cost is 1.6 lakh and I need Rs 69709 as loan. My annual income is ₹461642.,Yes,461642,Business,grocery shop,163636,69709,NA,NA,NA,NA
I do not belong to the SC category. My family income is 2.0 lakh and I need a loan for a repair shop.,No,199677,Business,repair shop,430236,380236,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my MBA course. My family income is 362943 rupees and I require Rs 350882.,Yes,362943,Education,NA,350882,350882,12th,MBA,medical,Yes
My family earns around 2.6 lakhs per year. I belong to the SC community and want to start a tailoring. I need around ₹356434.,Yes,256570,Business,tailoring,448738,356434,NA,NA,NA,NA
I am an SC beneficiary. My family income is Rs 192131. I want to start a transport business and need a loan of 1.0 lakh.,Yes,192131,Business,transport,155151,104574,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small transport. My income is ₹455150 and the project will cost about 525145 rupees.,Yes,455150,Business,transport,525145,426408,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small tailoring. My income is ₹397198 and the project will cost about 217164 rupees.,Yes,397198,Business,tailoring,217164,198378,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small computer centre. My income is Rs 337367 and the project will cost about Rs 410119.,Yes,337367,Business,computer centre,410119,395075,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹461397. I want to start a fisheries business and need a loan of 344660 rupees.,Yes,461397,Business,fisheries,377806,344660,NA,NA,NA,NA
My family earns around ₹317408 per year. I belong to the SC community and want to start a transport. I need around 65090 rupees.,Yes,317408,Business,transport,137771,65090,NA,NA,NA,NA
I do not belong to the SC category. My family income is 1.5 lakhs and I need a loan for a transport.,No,152172,Business,transport,105986,55986,NA,NA,NA,NA
My family earns around ₹358552 per year. I belong to the SC community and want to start a food business. I need around Rs 242958.,Yes,358552,Business,food business,290568,242958,NA,NA,NA,NA
I want to open a service business. I am an SC beneficiary and my yearly family income is 2.4 lakhs. I require about 1.4 lakhs.,Yes,244446,Business,service business,210136,137003,NA,NA,NA,NA
I belong to the SC category. I want an education loan for nursing. My annual family income is ₹280849 and I need around 28.0 lakhs.,Yes,280849,Education,NA,2795722,2795722,Graduate,nursing,professional,Yes
"I need a loan to study medical. I am an SC student, my income is 4.5 lakhs, and the course fee is 11.2 lakh.",Yes,446766,Education,NA,1120532,1120532,Graduate,medical,professional,Yes
I am an SC beneficiary. My family income is 458863 rupees. I want to start a fisheries business and need a loan of Rs 54160.,Yes,458863,Business,fisheries,70690,54160,NA,NA,NA,NA
"I need a loan to study MCA. I am an SC student, my income is ₹380886, and the course fee is 30.2 lakh.",Yes,380886,Education,NA,3015083,2345792,Postgraduate,MCA,medical,Yes
I am an SC beneficiary. My family income is 1.7 lakhs. I want to start a tailoring business and need a loan of ₹287859.,Yes,173783,Business,tailoring,375232,287859,NA,NA,NA,NA
My family earns around Rs 491594 per year. I belong to the SC community and want to start a tailoring. I need around 1.2 lakh.,Yes,491594,Business,tailoring,164863,118501,NA,NA,NA,NA
I do not belong to the SC category. My family income is Rs 257435 and I need a loan for a repair shop.,No,257435,Business,repair shop,106418,56418,NA,NA,NA,NA
"I need a loan to study MBA. I am an SC student, my income is 107961 rupees, and the course fee is 27.2 lakh.",Yes,107961,Education,NA,2721981,652451,12th,MBA,medical,Yes
I am from Scheduled Caste and want financial assistance for my MCA course. My family income is 3.8 lakh and I require Rs 1708446.,Yes,378992,Education,NA,2301779,1708446,Graduate,MCA,management,Yes
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is 4.0 lakh and I require 24.4 lakh.,Yes,404163,Education,NA,2437193,2437193,Graduate,nursing,medical,Yes
I am from Scheduled Caste and want financial assistance for my medical course. My family income is 4.3 lakhs and I require 16.8 lakhs.,Yes,434186,Education,NA,2747399,1677992,Graduate,medical,management,Yes
I belong to the SC category. I want an education loan for engineering. My annual family income is ₹364474 and I need around ₹557471.,Yes,364474,Education,NA,3532178,557471,Graduate,engineering,technical,Yes
I am from SC category and want financial help for my tailoring. The total project cost is Rs 400011 and I need ₹383830 as loan. My annual income is ₹357397.,Yes,357397,Business,tailoring,400011,383830,NA,NA,NA,NA
I do not belong to the SC category. My family income is 1.4 lakhs and I need a loan for a repair shop.,No,136756,Business,repair shop,173556,123556,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small computer centre. My income is 1.1 lakhs and the project will cost about ₹86241.,Yes,111206,Business,computer centre,86241,55544,NA,NA,NA,NA
"I need a loan to study medical. I am an SC student, my income is 298322 rupees, and the course fee is 13.3 lakhs.",Yes,298322,Education,NA,1326835,881636,12th,medical,management,Yes
My family earns around Rs 314531 per year. I belong to the SC community and want to start a poultry. I need around Rs 60410.,Yes,314531,Business,poultry,134866,60410,NA,NA,NA,NA
I am an SC beneficiary. My family income is 3.3 lakh. I want to start a repair shop business and need a loan of ₹409231.,Yes,327613,Business,repair shop,425730,409231,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my BTech course. My family income is 215496 rupees and I require 5.2 lakh.,Yes,215496,Education,NA,3372756,522518,Postgraduate,BTech,medical,Yes
I belong to the SC category. I want an education loan for MCA. My annual family income is 1.3 lakh and I need around 22.8 lakh.,Yes,132325,Education,NA,2279729,2279729,Postgraduate,MCA,technical,Yes
I am from Scheduled Caste and want financial assistance for my law course. My family income is 183507 rupees and I require 27.4 lakh.,Yes,183507,Education,NA,3866670,2744215,Graduate,law,professional,Yes
I am from Scheduled Caste and want financial assistance for my MBA course. My family income is ₹328959 and I require 1060516 rupees.,Yes,328959,Education,NA,1060516,1060516,Postgraduate,MBA,technical,Yes
My family earns around Rs 357801 per year. I belong to the SC community and want to start a food business. I need around 302798 rupees.,Yes,357801,Business,food business,327316,302798,NA,NA,NA,NA
I do not belong to the SC category. My family income is 3.8 lakh and I need a loan for a fisheries.,No,380083,Business,fisheries,107570,57570,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my BTech course. My family income is 161036 rupees and I require 11.5 lakhs.,Yes,161036,Education,NA,1147048,1147048,12th,BTech,technical,Yes
I am an SC student and my family income is ₹402148. I want to study MBA. My course fee is Rs 1715760 and I need a loan of 7.0 lakhs.,Yes,402148,Education,NA,1715760,695922,12th,MBA,management,Yes
I am not an SC beneficiary. I want to start a fisheries and need 1.7 lakh.,No,133250,Business,fisheries,216324,166324,NA,NA,NA,NA
I am an SC student and my family income is 170762 rupees. I want to study pharmacy. My course fee is Rs 689831 and I need a loan of 6.9 lakh.,Yes,170762,Education,NA,689831,689831,Graduate,pharmacy,technical,Yes
I am an SC beneficiary. My family income is ₹435786. I want to start a poultry business and need a loan of 2.6 lakh.,Yes,435786,Business,poultry,303625,258415,NA,NA,NA,NA
I am an SC student and my family income is 456137 rupees. I want to study pharmacy. My course fee is Rs 2798397 and I need a loan of 2798397 rupees.,Yes,456137,Education,NA,2798397,2798397,Graduate,pharmacy,medical,Yes
"I need a loan to study engineering. I am an SC student, my income is Rs 99848, and the course fee is 34.0 lakh.",Yes,99848,Education,NA,3395741,744690,12th,engineering,technical,Yes
I want to open a grocery shop. I am an SC beneficiary and my yearly family income is 95320 rupees. I require about Rs 232460.,Yes,95320,Business,grocery shop,291018,232460,NA,NA,NA,NA
"I need a loan to study pharmacy. I am an SC student, my income is Rs 256348, and the course fee is 1375087 rupees.",Yes,256348,Education,NA,1375087,597475,12th,pharmacy,professional,Yes
I am from Scheduled Caste and want financial assistance for my MBA course. My family income is 3.6 lakh and I require 18.6 lakhs.,Yes,357359,Education,NA,1860430,1860430,12th,MBA,technical,Yes
I want to open a grocery shop. I am an SC beneficiary and my yearly family income is 415646 rupees. I require about 3.5 lakh.,Yes,415646,Business,grocery shop,383463,346613,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a computer centre and need ₹352794.,No,436874,Business,computer centre,402794,352794,NA,NA,NA,NA
"I need a loan to study law. I am an SC student, my income is 420923 rupees, and the course fee is 255101 rupees.",Yes,420923,Education,NA,255101,255101,Postgraduate,law,management,Yes
I belong to Scheduled Caste and want to start a small fisheries. My income is 1.6 lakhs and the project will cost about 1.4 lakhs.,Yes,163689,Business,fisheries,144986,102499,NA,NA,NA,NA
I am an SC student and my family income is 1.7 lakhs. I want to study engineering. My course fee is Rs 3868960 and I need a loan of 34.5 lakhs.,Yes,171768,Education,NA,3868960,3452810,12th,engineering,management,Yes
I am from SC category and want financial help for my small manufacturing. The total project cost is Rs 335926 and I need 2.5 lakhs as loan. My annual income is Rs 315055.,Yes,315055,Business,small manufacturing,335926,245589,NA,NA,NA,NA
"My family earns ₹393074 per year. I am an SC beneficiary and want to pursue nursing, which is a management course. The fee is 19.9 lakhs.",Yes,393074,Education,NA,1987097,1905207,12th,nursing,management,Yes
"My family earns Rs 244797 per year. I am an SC beneficiary and want to pursue medical, which is a medical course. The fee is 5.3 lakhs.",Yes,244797,Education,NA,527730,527730,Graduate,medical,medical,Yes
I belong to the SC category. I want an education loan for BTech. My annual family income is 4.7 lakhs and I need around 2251586 rupees.,Yes,468328,Education,NA,2251586,2251586,Postgraduate,BTech,medical,Yes
I belong to Scheduled Caste and want to start a small computer centre. My income is Rs 169694 and the project will cost about 2.3 lakh.,Yes,169694,Business,computer centre,230989,163435,NA,NA,NA,NA
I am an SC student and my family income is 474619 rupees. I want to study MCA. My course fee is 28.6 lakhs and I need a loan of 21.3 lakhs.,Yes,474619,Education,NA,2855995,2128433,Graduate,MCA,technical,Yes
I belong to Scheduled Caste and want to start a small fisheries. My income is 369249 rupees and the project will cost about ₹489580.,Yes,369249,Business,fisheries,489580,427341,NA,NA,NA,NA
"My family earns 2.8 lakh per year. I am an SC beneficiary and want to pursue engineering, which is a technical course. The fee is 2300968 rupees.",Yes,275427,Education,NA,2300968,1664608,12th,engineering,technical,Yes
I belong to Scheduled Caste and want to start a small small manufacturing. My income is ₹183965 and the project will cost about Rs 289147.,Yes,183965,Business,small manufacturing,289147,205542,NA,NA,NA,NA
"I need a loan to study engineering. I am an SC student, my income is 284717 rupees, and the course fee is 26.2 lakh.",Yes,284717,Education,NA,2616835,2616835,12th,engineering,medical,Yes
I am an SC beneficiary. My family income is 3.3 lakh. I want to start a food business business and need a loan of ₹312904.,Yes,334922,Business,food business,391937,312904,NA,NA,NA,NA
I do not belong to the SC category. My family income is 365317 rupees and I need a loan for a small manufacturing.,No,365317,Business,small manufacturing,190282,140282,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹321617. I want to start a tailoring business and need a loan of ₹377023.,Yes,321617,Business,tailoring,403508,377023,NA,NA,NA,NA
I am an SC student and my family income is 3.2 lakhs. I want to study pharmacy. My course fee is 7.9 lakhs and I need a loan of Rs 793785.,Yes,315953,Education,NA,793785,793785,12th,pharmacy,medical,Yes
I want to open a transport. I am an SC beneficiary and my yearly family income is Rs 257794. I require about Rs 104727.,Yes,257794,Business,transport,185529,104727,NA,NA,NA,NA
I do not belong to the SC category. My family income is 342696 rupees and I need a loan for a repair shop.,No,342696,Business,repair shop,280369,230369,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small food business. My income is Rs 444700 and the project will cost about 1.8 lakh.,Yes,444700,Business,food business,182844,101934,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small grocery shop. My income is 309303 rupees and the project will cost about 239297 rupees.,Yes,309303,Business,grocery shop,239297,183654,NA,NA,NA,NA
I want to open a grocery shop. I am an SC beneficiary and my yearly family income is 3.4 lakhs. I require about ₹75592.,Yes,344126,Business,grocery shop,167619,75592,NA,NA,NA,NA
I want to open a computer centre. I am an SC beneficiary and my yearly family income is 4.9 lakh. I require about Rs 339095.,Yes,489053,Business,computer centre,387457,339095,NA,NA,NA,NA
I belong to the SC category. I want an education loan for law. My annual family income is Rs 219846 and I need around 24.3 lakhs.,Yes,219846,Education,NA,2431780,2431780,Graduate,law,medical,Yes
I am from Scheduled Caste and want financial assistance for my engineering course. My family income is Rs 111197 and I require 3787174 rupees.,Yes,111197,Education,NA,3827464,3787174,12th,engineering,professional,Yes
I am from Scheduled Caste and want financial assistance for my law course. My family income is 2.0 lakh and I require 8.8 lakhs.,Yes,202207,Education,NA,3688719,881930,Postgraduate,law,technical,Yes
"I need a loan to study pharmacy. I am an SC student, my income is 4.2 lakhs, and the course fee is Rs 3898812.",Yes,417738,Education,NA,3898812,854185,12th,pharmacy,technical,Yes
I belong to Scheduled Caste and want to start a small tailoring. My income is 225613 rupees and the project will cost about ₹388107.,Yes,225613,Business,tailoring,388107,315645,NA,NA,NA,NA
